,Username,Repository Name,Repository URL,Main.java URL,commit_count,complexity
151,nsatvik,ts-datamining,https://github.com/nsatvik/ts-datamining,https://github.com/nsatvik/ts-datamining/blob/34014df899bac24df9f0e0865d11af70f77ab140/TSDM/src/org/ck/gui/MainClass.java,29,35
152,jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/blob/55547f9aab708b2546d353d3d53a6401378cb4f2/war/src/main/java/executable/Main.java,9,11
153,intervigilium,Lame4Android,https://github.com/intervigilium/Lame4Android,https://github.com/intervigilium/Lame4Android/blob/851ee228151f8762a2942c3f32c0990b0d7fe8f7/src/com/intervigil/lame/Main.java,21,34
154,AlexandreBrillant,Editix-xml-editor,https://github.com/AlexandreBrillant/Editix-xml-editor,https://github.com/AlexandreBrillant/Editix-xml-editor/blob/4566dde1f63076d897bbe4a5f56948176662677b/src/com/japisoft/editix/main/Main.java,1,13
155,SCI2SUGR,KEEL,https://github.com/SCI2SUGR/KEEL,https://github.com/SCI2SUGR/KEEL/blob/5f404a9470f17528445baabe3a5d9f5202adee7a/src/keel/Algorithms/Fuzzy_Instance_Based_Learning/FRNN_VQRS/Main.java,3,5
156,agreementmaker,agreementmaker,https://github.com/agreementmaker/agreementmaker,https://github.com/agreementmaker/agreementmaker/blob/4c5504573a45391c1d635c19b3e57435d7ed3433/projects/core/src/main/java/am/Main.java,2,8
157,secure-software-engineering,DroidForce,https://github.com/secure-software-engineering/DroidForce,https://github.com/secure-software-engineering/DroidForce/blob/6d89d137cc04a44d5669e2256b4790976fe861b6/Instrumentation-PEP/src/de/ecspride/Main.java,21,18
158,javamelody,javamelody,https://github.com/javamelody/javamelody,https://github.com/javamelody/javamelody/blob/cd5916f829ad44e3bb8de42b6a7736313c646c21/javamelody-swing/src/main/java/net/bull/javamelody/Main.java,34,8
159,Lakkichand,android-education-project,https://github.com/Lakkichand/android-education-project,https://github.com/Lakkichand/android-education-project/blob/4498a08b577a61090343cec289edb835d7909ed4/Lame4Android/src/com/intervigil/lame/Main.java,1,34
160,ibmruntimes,semeru-openjdk-jdk17,https://github.com/ibmruntimes/semeru-openjdk-jdk17,https://github.com/ibmruntimes/semeru-openjdk-jdk17/blob/1325590ef3e10f10dfdf9726d3e0b62f7e282d70/src/jdk.compiler/share/classes/com/sun/tools/javac/launcher/Main.java,9,18
161,stephenfreund,RoadRunner,https://github.com/stephenfreund/RoadRunner,https://github.com/stephenfreund/RoadRunner/blob/b14161679702114a6b4023d7e3e3a836849e8aac/benchmarks/xalan/Main.java,1,4
162,yuanguangxin,LeetCode,https://github.com/yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode/blob/f58a68dcb18ba5382256e95275dac863c5fd8e1e/src/%E5%85%B6%E4%BB%96/%E8%BF%AA%E6%9D%B0%E6%96%AF%E7%89%B9%E6%8B%89/Main.java,0,6
163,dli85,CS2510,https://github.com/dli85/CS2510,https://github.com/dli85/CS2510/blob/f84d5afd441acc7d8777fb076748ab4f81a34e05/MazeSolver/main.java,1,16
164,eclipsesource,theia-cloud,https://github.com/eclipsesource/theia-cloud,https://github.com/eclipsesource/theia-cloud/blob/dd11af404e0bce8d3b4bcbb07958bca1b67541bd/java/operator/org.eclipse.theia.cloud.operator/src/main/java/org/eclipse/theia/cloud/operator/Main.java,11,8
165,AdamaJava,adamajava,https://github.com/AdamaJava/adamajava,https://github.com/AdamaJava/adamajava/blob/371bb21f2dae6556bdb40dc116cc238709840412/qbamannotate/src/org/qcmg/qbamannotate/Main.java,2,42
166,tgrall,mongodb-workshop,https://github.com/tgrall/mongodb-workshop,https://github.com/tgrall/mongodb-workshop/blob/256b01ac7684fad7de30ad6268b8de55d2d93aee/java/src/main/java/org/mongodb/workshop/Main.java,1,20
